"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"6","","0","Oracle DB Validation","0","0","","0"
"0","","0","Schema Validation & Assertion Cheat Sheet","6","0","","0"
"0","","0","Create Account API","3","0","","0"
"0","","0","Kafka Order Event Validation","3","0","","0"
"0","","0","Update Account API","3","0","","0"
"0","","0","Data-Driven Transfer Tests from CSV","4","0","","0"
"0","","0","Real-World Kafka Test Scenarios","3","0","","0"
"0","","0","Dynamic Payload Generation","1","0","","0"
"0","","0","Transfer Funds API","4","0","","0"
"0","","0","Get Account API","3","0","","0"
"0","","0","Complete personal loan application flow","1","0","","0"
"0","","0","Real Order System E2E Flow","2","0","","0"
